id,identifier,name,type_id,damage_class_id,damage,energy,accuracy,summary,description,target,category
553,freeze-shock,Freeze Shock,6,1,14,8,90,Requires an action to charge and has a 30% chance to paralyze the target.  Can be used in one action for 3% extra energy.,"The user meticulously crafts a wicked shard of ice infused with considerable electrical energy, then hurls it into the opponent. There is a 30% chance that residual electricity will cause the target to become paralyzed.",Single,Projectile/Status (paralysis)
554,ice-burn,Ice Burn,6,2,14,9,90,Has a 30% chance to burn the target.,"The user expends considerable energy to lower the temperature in the air around its target to well below freezing, then unleashes an ice-laden wind that lacerates them and has a 30% chance to leave them afflicted by frostbite, which is functionally equivalent to a burn.",Single,Projectile/Status (burn)
555,snarl,Snarl,16,2,5,4,95,Has a 100% chance to lower the target's Special Attack by one stage.,"The user lets out a long, intimidating snarl laced with undertones of an arcane spell. Any against whom the terrifying noise is directed will be made uncomfortably aware of how dangerous their opponent is, with the result that their special attack is lowered.",Multiple,Projectile/Stat modifier (special attack)
556,icicle-crash,Icicle Crash,6,1,8,4,90,Has a 30% chance to make the target flinch.,"The user hurls an immense icicle at the target. The sharp cold accompanying the blow may be enough to momentarily stun the target, with the result that this attack has a 30% chance to make the target flinch.",Single,Projectile/Flinch
557,v-create,V-create,2,1,19,10,95,"Lowers the user's Defense, Special Defense, and Speed by one stage.","The user burns a great V of fire on its forehead and rushes at the opponent at a breakneck speed, putting all its energy into the attack. Although this attack does incredible damage, it leaves the user drained and weary afterwards, lowering its defense, special defense, and speed.",Single,"Contact/Stat modifier (defense, special defense, speed)"
558,fusion-flare,Fusion Flare,2,2,10,5,100,Base damage and energy cost are doubled if used after Fusion Bolt.,"The user releases a swirling torrent of fire using an ancient technique now nearly forgotten. If an ally called forth its sister technique, fusion bolt, earlier this action, the user will add the residual electric energy to its flames and this attack's base power is doubled.",Single,Projectile
559,fusion-bolt,Fusion Bolt,5,1,10,5,100,Base damage and energy cost are doubled if used after Fusion Flare.,"The user swathes itself in a dense cloud of frenetic blue electricity and zooms straight into the opponent. Although the majority of the damage from this attack is caused by the high-speed impact, the wall of electricity is so powerful that it will actually repel the target on contact, and the user and its target to not actually touch as a result. If an ally called forth this attack's sister technique, fusion flare, earlier this action, the user will wrap itself with the residual fire energy in addition to electricity and this attack's base power is doubled.",Single,Projectile
560,flying-press,Flying Press,7,1,8,4,95,Deals both Fighting- and Flying-type damage.,boop,boop,
561,mat-block,Mat Block,7,3,,2,,Protects all friendly Pokémon from damaging moves this action.  Only works if the user has not used it since entering battle.,boop,boop,
562,belch,Belch,8,2,12,7,90,Only works if the user has eaten a berry.,boop,boop,
563,rototiller,Rototiller,9,3,,-1,,Raises the Attack and Special Attack of all Grass Pokémon in battle by one stage.,boop,boop,
564,sticky-web,Sticky Web,12,3,,3,,Sprays a web which lowers the Speed of any Pokémon who steps touches it by one stage.,boop,boop,
565,fell-stinger,Fell Stinger,12,1,2,1,100,"If the target has less than 10% health remaining, deals 10% damage and raises the user's Attack by two stages.",boop,boop,
566,phantom-force,Phantom Force,14,1,9,5,100,"Vanishes, dodging most moves, then hits.  Costs 3% extra energy to do both in one action.",boop,boop,
567,trick-or-treat,Trick-or-Treat,14,3,,5,100,Adds Ghost to the target's types.,boop,boop,
568,noble-roar,Noble Roar,1,3,,2,100,Lowers the target's Attack and Special Attack by one stage.,boop,boop,
569,ion-deluge,Ion Deluge,5,3,,4,,Changes Normal-type moves to Electric-type moves for three actions.,boop,boop,
570,parabolic-charge,Parabolic Charge,5,2,5,3,100,Drains half the total damage dealt to all targets to heal the user.,boop,boop,
571,forests-curse,Forest's Curse,4,3,,5,100,Adds Grass to the target's types.,boop,boop,
572,petal-blizzard,Petal Blizzard,4,1,9,5,100,Deals damage.  No other effect.,boop,boop,
573,freeze-dry,Freeze-Dry,6,2,7,4,100,Is super-effective against Water-types.,boop,boop,
574,disarming-voice,Disarming Voice,18,2,4,2,,Never misses.,boop,boop,
575,parting-shot,Parting Shot,16,3,,2,100,Lowers the target's Attack and Special Attack by one stage.  Makes the user switch out.,boop,boop,
576,topsy-turvy,Topsy-Turvy,16,3,,-1,,Inverts the target's stat stages.,boop,boop,
577,draining-kiss,Draining Kiss,18,2,5,3,100,Drains 3/4 of the damage dealt to heal the user.,boop,boop,
578,crafty-shield,Crafty Shield,18,3,,-1,,Protects all friendly Pokémon from non-damaging moves this action.,boop,boop,
579,flower-shield,Flower Shield,18,3,,-1,,Raises all friendly Grass-type Pokémon's Defense by one stage.,boop,boop,
580,grassy-terrain,Grassy Terrain,4,3,,5,,"For six actions, heals Pokémon on the ground for 1% each action and raises their Grass-type moves' base damage by 2%.",boop,boop,
581,misty-terrain,Misty Terrain,18,3,,5,,"For six actions, Pokémon on the ground cannot obtain major status ailments and take 2% less damage from Dragon moves.",boop,boop,
582,electrify,Electrify,5,3,,3,,Makes the target's next damaging move Electric-type.,boop,boop,
583,play-rough,Play Rough,18,1,9,6,90,Has a 30% chance to lower the target's Attack by one stage.,boop,boop,
584,fairy-wind,Fairy Wind,18,2,4,2,100,Deals damage.  No other effect.,boop,boop,
585,moonblast,Moonblast,18,2,9,6,100,Has a 30% chance to lower the target's Special Attack by one stage.,boop,boop,
586,boomburst,Boomburst,1,2,14,8,100,Deals damage.  No other effect.,boop,boop,
